"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-03","    8","0.48",,,,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-04",,,"0.00","0.0",,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-05",,,"0.00","0.0",,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-06",,,"0.00","0.0",,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-07",,,"0.00","0.0",,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-08",,,"0.00","0.0",,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-09",,,"0.20",,,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-10",,,"0.00","0.0",,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-11",,,"0.00","0.0",,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-12",,,"0.00","0.0",,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-13",,,"0.00","0.0",,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-14",,,"0.00","0.0",,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-15",,,"0.00","0.0",,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-16",,,"0.00","0.0",,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-17",,,"0.00","0.0",,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-18",,,"0.00","0.0",,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-19",,,"0.00","0.0",,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-20",,,"0.00","0.0",,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-21",,,"0.07",,,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-22",,,"0.00","0.0",,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-23",,,"0.00","0.0",,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-24",,,"0.00","0.0",,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-25",,,"0.22",,,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-26",,,"0.00","0.0",,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-27",,,"0.00","0.0",,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-28",,,"0.00","0.0",,,,
"US1TXRK0006","ROCKWALL 3.1 SSW, TX US","2022-01-29",,,"0.00","0.0",,,,
